taxon_oid	Domain	Status	Phylum	Class	Order	Family	Genus	Species	NCBI Taxon ID	RefSeq Project ID	GenBank Project ID	Strain	Proposal GOLD ID	Bioproject Accession	Biotic Relationships	Genome Size	Gene Count	Scaffold Count	GC Count	Coding Base Count	N50
642555138	Bacteria	Finished	Verrucomicrobia	Methylacidiphilales	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	infernorum	481448	59161	28995	V4	Gc00812	PRJNA28995	Free living	2287145	2521	1	1040257	2074037	2287145
2516653088	Archaea	Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	28890	0	0	AmaM	Gi0025980			1523554	1680	32	830895	1375458	173775
2523231010	Bacteria	Permanent Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	1298863	0	0	URHB0036	Gi22188	PRJNA190836		4829548	4705	22	3373361	4483380	277872
2506783052	Archaea	Finished	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	756883	72619	52855	DL31	Gc01931	PRJNA52855		3643158	3788	3	2272629	3184340	2913689
2540341237	Bacteria	Permanent Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	1128421	0	0	JKG1	Gi14121	PRJNA195828		4475263	4010	4	2943550	4044846	2377156
2556921018	Bacteria	Permanent Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	1380348	0	0	URHE0068	Gi22170	PRJNA213785		6679185	5623	83	4020909	5766920	201201
2562617054	Bacteria	Permanent Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	1380347	0	0	URHB0048	Gi22176	PRJNA213784		4705879	4600	13	3404546	4360258	848149
2228664052	Bacteria	Permanent Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	1007114	0	0	SCGC AAA076-D02	Gi0020096	PRJNA195659		1761763	1830	55	658017	1661880	111991
2546825534	Bacteria	Permanent Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	1380394	0	0	URHD0088	Gi22179	PRJNA213782		6646877	6447	33	4432522	5973953	441567
2501651219	Bacteria	Draft	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	508458	0	0		Gi0000338		Free living	3525432	3290	19	1874506	3022143	363474
640753026	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Fervidobacterium	nodosum	381764	58625	16719	Rt17-B1	Gc00630	PRJNA16719	Free living	1948941	1847	1	681921	1793460	1948941
644736379	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Kosmotoga	olearia	521045	59205	29419	TBF 19.5.1	Gc01029	PRJNA29419	Free living	2302126	2221	1	956441	2076206	2302126
2510065086	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Mesotoga	prima	660470	52599	48995	MesG1AG4.2	Gc02360	PRJNA48995		2975953	2736	2	1352538	2569522	2974229
641228500	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Petrotoga	mobilis	403833	58747	17679	SJ95	Gc00684	PRJNA17679	Free living	2169548	2012	1	740319	1969308	2169548
643348583	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermosipho	africanus	484019	59095	27767	TCF52B	Gc00896	PRJNA27767	Free living	2016657	1968	1	621348	1797988	2016657
640753057	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermosipho	melanesiensis	391009	58683	17249	BI429	Gc00582	PRJNA17249	Free living	1915238	1998	1	601382	1796200	1915238
2558309103	Bacteria	Permanent Draft	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	elfii	1123383	0	0	DSM 9442	Gi12016	PRJNA221066		2156227	2153	2	833569	2056755	1228899
641228511	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	lettingae	416591	58419	15644	TMO	Gc00649	PRJNA15644	Free living	2135342	2092	1	826314	2012882	2135342
2519899531	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	maritima	243274	0	0	MSB8, DSM 3109	Gi08995	PRJNA63051	Free living	1869644	1909	1	864691	1790184	1869644
646311964	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	naphthophila	590168	42777	33663	RKU-10	Gc01158	PRJNA33663	Free living	1809823	1867	1	835066	1731557	1809823
643348584	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	neapolitana	309803	59065	21023	DSM 4359	Gc00944	PRJNA21023	Free living	1884562	1988	1	884659	1809617	1884562
640427150	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	petrophila	390874	58655	17089	RKU-1	Gc00562	PRJNA17089	Free living	1823511	1865	1	840660	1744574	1823511
2503508007	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	thermarum	688269	68449	41517	LA3, DSM 5069	Gc01826	PRJNA41517	Free living	2039943	2066	1	822588	1926434	2039943
642487181	Bacteria	Finished	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	unclassified	126740	58935	19543	RQ2	Gc00749	PRJNA19543	Free living	1877693	1868	1	867075	1774926	1877693
2523533580	Bacteria	Permanent Draft	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	atlanticus	1123371	0	0	DSM 21156	Gi12004	PRJNA188821		2302285	2297	60	1035307	2120905	70117
2505119042	Bacteria	Finished	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfatator	indicus	667014	68285	40057	CIR 29812, DSM 15286	Gc01827	PRJNA40057	Free living	2322224	2291	1	985214	2128711	2322224
2506520012	Bacteria	Finished	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium	geofontis	795359	68283	67515	OPF15	Gc01805	PRJNA67515	Free living	1634377	1686	1	499915	1553216	1634377
2524023142	Bacteria	Permanent Draft	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium	hveragerdense	1123372	0	0	DSM 12571	Gi12005	PRJNA185672		1729593	1804	42	640405	1603558	76596
2523533618	Bacteria	Permanent Draft	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	Thermodesulfobacteriaceae	Thermodesulfobacterium	thermophilum	1123373	0	0	DSM 1276	Gi12006	PRJNA188822		1787382	1834	46	662497	1669868	108852
646311962	Bacteria	Finished	Thermobaculum	Thermobaculum	Thermobaculum	Thermobaculum	Thermobaculum	terrenum	525904	42011	29523	YNP1, ATCC BAA-798	Gc01150	PRJNA29523	Free living	3101581	2933	2	1659573	2859987	2026947
641522613	Archaea	Finished	Thaumarchaeota	Thermoprotei	Cenarchaeales	Cenarchaeaceae	Cenarchaeum	symbiosum	414004	202	202	A	Gi10744	PRJNA202	Symbiotic	2045086	2066	1	1173335	1874779	2045086
2510065023	Archaea	Finished	Thaumarchaeota	Nitrososphaerales	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrososphaera	gargensis	497727	0	0	Ga9-2	Gc02344	PRJNA60505	Free living	2833736	3599	1	1370014	2310439	2833736
651324076	Archaea	Draft	Thaumarchaeota	Nitrosopumilales	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosoarchaeum	koreensis	1001994	70553	67913	MY1	Gi09782	PRJNA67913		1607695	1991	1	525284	1436317	1607695
641228499	Archaea	Finished	Thaumarchaeota	Nitrosopumilales	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	maritimus	436308	58903	19265	SCM1	Gc00694	PRJNA19265	Free living	1645259	1842	1	562144	1494293	1645259
2523533587	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	axanthum	1278311	0	0	S-743	Gi15276	PRJNA185235		1807123	1720	57	505601	1667565	49854
2556921630	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	equifetale	1408415	0	0	ATCC 29724	Gi15278	PRJNA223127		1282372	1214	26	380124	1184701	124644
2545824542	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	granularum	1278304	0	0	BTS-39	Gi15279	PRJNA185223		1453539	1398	14	427338	1348408	150806
2561511033	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	hippikon	1408416	0	0	ATCC 29725	Gi15280	PRJNA223075		1430451	1402	17	441405	1333256	173079
641522601	Bacteria	Finished	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	laidlawii	441768	58901	19259	PG-8A	Gc00734	PRJNA19259	Free living	1496992	1422	1	477956	1366996	1496992
2558860159	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	modicum	1408417	0	0	ATCC 29102	Gi15381	PRJNA223044		1219180	1173	10	338770	1141806	238812
2534682370	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	multilocale	1278299	0	0	PN525	Gi15281	PRJNA185218		930509	881	12	285384	856929	284263
642555117	Bacteria	Finished	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	australiense	59748	61641	29469		Gc00774	PRJNA29469	Symbiotic	879959	727	1	241326	576429	879959
642555118	Bacteria	Finished	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	mali	37692	59087	25335	AT	Gc00828	PRJEA25335	Symbiotic	601943	518	1	128778	470002	601943
637000011	Bacteria	Finished	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	unclassified	322098	58297	13478	AY-WB	Gc00336	PRJNA13478	Symbiotic	723970	734	5	194109	542752	706569
637000202	Bacteria	Finished	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Candidatus Phytoplasma	unclassified	262768	58015	9615	OY-M	Gc00167	PRJNA9615	Symbiotic	860631	797	1	238710	638412	860631
2531839456	Bacteria	Draft	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	unclassified	unclassified	1163385	0	0	phytoplasma NTU2011	Gi16970	PRJNA89719		566694	487	14	138100	426693	71463
2540341223	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Entomoplasma	lucivorax	1399797	0	0	ATCC 49196	Gi15301	PRJNA218806		1103092	1004	31	331460	988508	66123
2540341224	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Entomoplasma	luminosum	1399796	0	0	ATCC 49195	Gi15302	PRJNA218805		1022566	943	41	304792	926024	63864
2545824514	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Entomoplasma	somnilux	1399795	0	0	ATCC 49194	Gi15304	PRJNA218803		864731	768	4	241774	800586	614841
2545555831	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	chauliocola	1336232	0	0	ATCC 49578	Gi15316	PRJNA204049		843889	782	18	226267	781912	230123
637000158	Bacteria	Finished	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	florum	265311	58055	10650	L1	Gc00203	PRJNA10650	Free living	793224	726	1	214333	748415	793224
2561511101	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	grammopterae	1408447	0	0	ATCC 49580	Gi15319	PRJNA223004		806944	750	8	216389	760770	236299
2561511100	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	photuris	1408448	0	0	ATCC 49581	Gi15321	PRJNA223039		778966	731	10	218995	733091	115941
2548877170	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Entomoplasmatales	Entomoplasmataceae	Mesoplasma	seiffertii	1336238	0	0	ATCC 49495	Gi15322	PRJNA204095		977957	870	11	295427	898413	287278
2541047151	Bacteria	Draft	Tenericutes	Mollicutes	Entomoplasmatales	Spiroplasmataceae	Spiroplasma	melliferum	1129368	0	0	IPMB4A	Gi13512	PRJNA80357		1098846	979	24	302454	962763	79617
646564553	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	agalactiae	2110	46679	16095	PG2	Gc00569	PRJNA16095	Free living	1006702	854	1	298226	894469	1006702
2519103131	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	agalactiae	1110504	0	0	14628	Gi13155	PRJNA76359	Symbiotic	919593	810	22	274692	819834	176936
2531839284	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	alkalescens	1188234	0	0	14918	Gi17900	PRJNA164749		771940	666	20	197361	676830	106870
647000282	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	alligatoris	747682	46947	46701	A21JP2	Gi06371	PRJNA46701	Free living	973030	842	33	259665	877446	173580
2561511236	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	alvi	1408453	0	0	Ilsley, ATCC 29626	Gi15329	PRJNA223077		840640	722	7	209898	763416	190782
2512047064	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	anatis	1034808	71183	67125	1340, ATCC 25524	Gi10242	PRJNA67125		928687	841	44	247405	834972	32523
2561511058	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	anseris	1408454	0	0	ATCC 49234	Gi0051624	PRJNA223095		739184	668	23	194224	685298	56034
2531839282	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	arginini	1188236	0	0	7264	Gi17904	PRJNA164753		615620	557	18	161473	559623	106085
2523231014	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	arginini	1266999	0	0	G230	Gi21323	PRJNA183039		763951	718	29	213350	695274	83178
642555141	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	arthritidis	243272	58005	1422	158L3-1	Gc00825	PRJNA1422	Free living	820453	666	1	251957	731554	820453
649633071	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	bovis	289397	60859	12525	Donetta PG45	Gc01556	PRJNA12525	Free living	1003404	806	1	294145	844166	1003404
2521172704	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	bovis	767465	0	0	HB0801	Gc02240	PRJNA49159	Free living	991702	849	1	290647	901675	991702
650716062	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	bovis	956483	68691	62195	Hubei-1	Gc01872	PRJNA62195	Free living	948121	839	1	277694	855796	948121
2513237352	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	canis	1131452	160009	80795	UF31	Gi13631	PRJNA80795		862059	680	5	232576	762273	173178
2519899821	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	canis	1131455	0	0	UFG4	Gi13634	PRJNA80801		867444	675	6	234236	795727	173202
2519899818	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	canis	1117644	0	0	PG 14	Gi13630	PRJNA77819	Symbiotic	867208	686	6	234454	791806	173195
2519899820	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	canis	1131454	0	0	UFG1	Gi13633	PRJNA80799		868614	672	5	234399	790676	173214
2519899819	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	canis	1131453	0	0	UF33	Gi13632	PRJNA80797		869506	674	5	234707	783645	173200
637000174	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	capricolum	340047	58525	16208	ATCC 27343	Gc00329	PRJNA16208	Free living	1010023	868	1	240087	917387	1010023
2561511071	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	cloacale	1408455	0	0	ATCC 35276	Gi15335	PRJNA223043		661755	599	16	178669	620245	73066
2561511076	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	collis	1408456	0	0	ATCC 35278	Gi0051625	PRJNA223097		902877	833	43	202115	821309	56128
2512047065	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	columbinum	1037410	72177	67465	SF7	Gi10243	PRJNA67465		748210	648	15	201631	691350	105778
2561511074	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	columborale	1408458	0	0	ATCC 29258	Gi0051627	PRJNA223098		910711	774	29	264962	850722	94760
2545824614	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	cricetuli	1415781	0	0	ATCC 35279	Gi22374	PRJNA225852		847750	758	45	203333	771202	50546
2556921632	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	elephantis	1408459	0	0	ATCC 51980	Gi15339	PRJNA223074		769819	720	25	197595	721251	60754
2556921631	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	felifaucium	1408461	0	0	ATCC 43428	Gi15342	PRJNA223084		764934	716	37	215319	704133	43591
2561511083	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	felis	1408462	0	0	ATCC 23391	Gi0051629	PRJNA223099		811556	760	44	196911	748151	29297
650377959	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	fermentans	496833	0	28473	PG18	Gi0000130	PRJDA28473	Free living	1004014	932	1	269246	903389	1004014
649633072	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	fermentans	943945	62099	13415	M64	Gc01588	PRJNA13415	Free living	1118751	1091	1	300491	1002033	1118751
2531839124	Bacteria	Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	flocculare	1004152	0	0	ATCC 27716	Gi10244	PRJNA65295		763948	613	14	221065	671491	82174
2558860163	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallinarum	1122248	0	0	DSM 19816	Gi11697	PRJNA221017		834674	708	13	219526	782799	197178
646862333	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	708616	162001	43301	F	Gc01237	PRJNA43301	Free living	977612	795	1	306930	876908	977612
2518645562	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1159198	0	0	NC95_13295-2-2P	Gc02267	PRJNA86095	Symbiotic	953989	792	1	301410	860997	953989
637000175	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	233150	57993	409	R(low)	Gc00153	PRJNA409	Free living	996422	768	1	313375	882116	996422
2518645557	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1159201	0	0	WI01_2001.043-13-2P	Gc02270	PRJNA86103	Symbiotic	939844	784	1	296631	846802	939844
2517093024	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1159203	0	0	CA06_2006.052-5-2P	Gc02264	PRJNA86107	Symbiotic	976412	801	1	308858	878098	976412
2517093027	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	2096	0	0		Gc02298	PRJNA86097		986257	809	1	312121	892626	986257
2518645561	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1159197	0	0	VA94_7994-1-7P	Gc02269	PRJNA86093	Symbiotic	964110	805	1	304510	868371	964110
2517093025	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1159204	0	0	NC08_2008.031-4-3P	Gc02266	PRJNA86109	Symbiotic	926650	777	1	292768	837280	926650
646862334	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	710128	161999	43299	R(high)	Gc01238	PRJNA43299	Free living	1012027	805	1	318459	901798	1012027
2518645544	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1159202	0	0	NC06_2006.080-5-2P	Gc02265	PRJNA86105		938869	782	1	296872	847659	938869
2518645563	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1159200	0	0	NY01_2001.047-5-1P	Gc02268	PRJNA86099	Symbiotic	965525	798	1	305154	869319	965525
2523533588	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	gallisepticum	1267002	0	0	PG 31	Gi21324	PRJNA183043		922737	799	33	289490	834021	49980
2512564088	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	genitalium	2097	0	0	M2321	Gc02313	PRJNA39739		579977	588	1	183703	550687	579977
637000176	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	genitalium	243273	57707	97	G37	Gc00002	PRJNA97	Free living	580076	525	1	183821	538177	580076
2556921629	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	glycophilum	1408463	0	0	ATCC 35277	Gi15345	PRJNA223029		893830	709	40	254722	818574	42184
646311946	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hominis	2098	41875	41875	PG21, ATCC 23114	Gc01148	PRJNA41875	Free living	665445	563	1	180457	597748	665445
2519899696	Bacteria	Permanent Draft	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hominis	1267000	0	0	LBD-4	Gi21325	PRJNA183041		689269	627	23	185786	634891	54964
637000178	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hyopneumoniae	262722	58039	10639	7448	Gc00287	PRJNA10639	Free living	920079	714	1	262120	808924	920079
637000177	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hyopneumoniae	295358	58205	13120	232	Gc00209	PRJNA13120	Free living	892758	728	1	254982	809029	892758
637000179	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hyopneumoniae	262719	58059	10675	J	Gc00283	PRJNA10675	Free living	897405	712	1	255960	800973	897405
2512047042	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hyorhinis	936139	162087	61173	MCLD	Gc01744	PRJNA61173	Free living	829709	811	1	214700	723362	829709
648028045	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hyorhinis	872331	51695	51405	HUB-1	Gc01371	PRJNA51405	Free living	839615	687	1	217322	719403	839615
2511231163	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hyorhinis	1129369	87003	80425	GDL-1	Gc02075	PRJNA80425	Free living	837480	740	1	216959	775607	837480
2519103106	Bacteria	Finished	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae	Mycoplasma	hyorhinis	1118964	0	0	SK76	Gc02404	PRJNA78027	Symbiotic	836897	786	1	216689	758875	836897
